Ps,Pw, Skew  , Velocity  , Depth  , D50  , Gradation  , Scour  
0.7,1.5,0,2.9,6.6,70,1.2,0.6
0.7,1.5,0,3,5.3,70,1.2,0.6
1.3,3.3,0,0.8,4.8,0.48,1.8,0.4
1,4.3,0,2.9,9.7,0.3,1.4,3.7
0.7,0.5,20,1.4,1.8,1.1,3.5,0.3
0.7,4.3,0,2.6,11.6,0.3,1.4,3.7
1.3,5.3,0,1.6,11.8,0.48,1.8,4.6
1.3,3.3,0,1.2,6.7,0.48,1.8,0.9
1,1,0,1.7,8.4,0.28,1.8,1.5
0.7,0.9,60,0.7,2.4,27,2.6,1.5
0.7,1.3,5,1.1,1.2,39,2.3,0.9
0.7,0.9,0,2.4,2.4,73,2.3,0.5
1.3,2.9,0,1.2,11,0.7,2.7,3.7
1.3,0.3,8,1.1,0.6,0.67,2.6,0.6
1.3,0.3,16,0.7,1,0.67,2.6,0.4
1.3,0.3,14,1.2,1,0.94,3,0.3
0.7,0.9,66,0.2,1.9,0.25,14.1,0.5
0.7,1.2,15,1.5,6,12,2.6,0.2
1,1.5,0,1.1,1.5,1.8,4.6,0.5
1,1,0,1.9,7.9,0.28,1.8,1.2
1,0.8,0,1.3,3.2,4,5.7,0.7
1,1.5,0,0.5,1.2,0.58,6.9,0.3
1,1.5,0,2.3,3.8,27,2.3,0.3
1,1.5,0,1.6,3,1.8,4.6,0.9
1,1.5,0,4.1,8.3,27,2.3,1.6
1,1.5,0,1.8,3.7,27,2.3,0.3
0.7,1.3,5,2,2.2,39,2.3,0.8
0.7,1,3,2.1,1.2,95,2.5,1.4
1,0.6,0,0.6,0.5,72,2.3,0.2
1,1.1,0,1.8,2.5,30,1.8,0.6
1,1.7,0,3.7,5.5,33,2,0.6
1,1.5,0,0.3,0.5,0.58,6.9,0.8
1,0.8,40,0.5,3.2,0.12,20.3,0.5
0.7,0.9,64,0.6,2.7,14,5.1,1.2
1,0.8,50,0.3,2.2,0.12,20.3,0.2
1,1.5,0,1.5,2.1,1.8,4.6,0.6
0.7,1.5,0,2,5.8,70,1.2,0.8
1,1.2,0,1,1,1.19,3.6,0.3
1,0.6,0,1.6,0.7,72,2.3,0.2
0.7,0.9,66,0.3,1.7,18,3.1,0.5
1,0.8,20,1.2,3.5,11.5,11.4,0.7
1,1.5,0,1.6,2,1.8,4.6,0.6
1,0.6,0,1.1,0.8,55,1.5,0.5
1,1.5,0,0.8,1.5,0.58,6.9,0.3
1,1,0,1.6,6.2,0.28,1.8,1.1
0.7,1,3,3.2,1.7,95,2.5,1.7
1.3,2.9,0,1.4,12.9,0.7,2.7,3.7
1,1.5,0,0.9,1.2,0.58,6.9,0.3
1,0.8,14,1.8,5.2,2.5,3.4,0.7
1,1.7,0,3.4,5.1,33,2,1.1
0.7,0.5,20,1.8,1.6,1.1,3.5,0.3
1.3,2.8,0,1.2,12.9,0.7,2.7,3.8
1,4.3,0,3,12,0.3,1.4,4.5
1,1.1,0,1.4,3.9,1.82,2.6,0.5
1,0.6,0,2,3.2,55,1.5,0.5
0.7,1.2,32,0.8,1.7,17.3,3.3,0.4
1,1.4,8,1.5,5.9,0.59,2.7,1.3
1.3,2.8,0,1.1,11,0.7,2.7,4.3
1.3,2.8,0,1.9,14,0.7,2.7,4.3
1,1.3,18,1.7,6,2.2,4.2,0.9
1.3,4.1,0,0.5,4.7,0.48,1.8,0.5
0.7,1,0,1.5,1.9,73,2.3,0.3
0.7,0.9,0,1.5,2,73,2.3,0.6
1,0.9,0,1.3,5.1,0.9,4.2,0.7
1,0.8,0,0.7,3.1,0.25,8,0.2
0.7,1.8,0,3.7,5.5,90,5.5,1.1
1,1.2,0,0.7,0.6,1.19,3.6,0.3
1,1.5,0,2.7,5.6,28,1.9,0.3
1,4.3,0,3.2,11.2,0.3,1.4,5.5
1,0.6,0,0.9,2,6.8,3.7,0.5
0.7,0.9,60,0.7,2.3,34,2.5,1
0.7,0.9,36,1.1,0.3,29.8,3,0.3
1.3,0.3,11,1.1,0.9,0.94,2.6,0.5
0.7,1,3,2.1,1.1,95,2.5,1.4
0.7,1,3,1.6,1,95,2.5,0.4
1,1.1,8,1.5,3.7,1.82,2.6,0.4
0.7,0.9,0,2.4,2.7,73,2.3,0.8
0.7,5.5,0,2.6,20,0.96,2.1,4.1
0.7,1.3,5,2.1,2,39,2.3,0.8
0.7,1.2,36,0.9,1.5,1.3,3,0.3
1,1.1,0,2.1,2.9,5,4.9,0.7
1.3,1.6,8,2.1,7.5,6.9,6.2,0.7
0.7,1.5,0,2.6,4.1,70,1.2,0.8
1,1.4,0,0.9,3.7,6,5.1,0.4
1.3,0.3,11,1.1,0.4,0.94,3,0.5
1.3,4.5,0,1.2,8.5,0.48,1.8,0.8
0.7,1.3,5,2.1,1.9,39,2.3,0.9
0.7,1.1,8,0.5,2.5,0.17,3.5,0.1
1,1.5,0,0.9,0.9,1.8,4.6,0.5
0.7,0.9,66,0.2,1.6,8.2,7.5,0.5
1,0.9,5,1.1,3.4,0.9,4.2,0.4
1,0.8,0,0.9,2.8,0.19,2.6,0.4
1,1.5,0,1.8,3,1.8,4.6,1.8
0.7,0.9,0,1.1,1.8,73,2.3,0.1
0.7,0.9,63,0.6,2.4,21,4,1
0.7,0.9,66,0.6,2.2,32,3.6,0.8
1,0.8,0,1.4,2.6,35,1.6,0.2
1,1.5,0,1,2,1.8,4.6,0.8
1.3,0.3,13,1.1,0.7,0.94,3,0.5
1,1.3,18,1.5,4.5,0.3,2.7,0.6
1.3,3.1,0,1.6,9.8,0.48,1.8,0.7
1.3,0.3,13,0.7,0.7,0.67,2.6,0.6
1.3,4,11,2.4,22.5,0.6,2.1,7.1
0.7,1,3,2.6,1.5,95,2.5,0.2
1,0.6,0,1.6,1.7,72,2.3,0.5
1.3,2.9,0,2.3,14.6,0.7,2.7,4
1,1.2,0,1.1,3.2,0.15,2.9,0.9
1.3,1.7,0,1.1,8,6.9,6.2,1.7
1,1.1,0,1.8,4.1,1.3,7.5,0.3
1,1.1,0,1.8,3.1,5,4.9,0.5
0.7,1.2,37,1.1,3.8,17.3,3.3,0.5
1.3,5.1,0,0.5,5.7,0.48,1.8,0.7
1,1.5,0,1.8,3,1.8,4.6,1.4
1,1.5,0,3.4,9.7,27,2.3,1.3
1,1.3,0,1.7,2,17,2.5,0.7
1,1.5,0,2.7,5.4,27,2.3,0.6
1,1.4,10,1.3,5.7,2.41,19.8,1.9
1,0.8,0,1.5,2.3,35,1.6,0.8
1,1,0,1.5,2.4,10,4.6,0.7
0.7,1.3,5,2.1,2.3,39,2.3,0.8
0.7,0.9,65,0.8,2.9,4.1,6.4,0.6
0.7,0.9,63,0.5,2.8,36.3,5.4,1
1,1,0,2.2,9.3,0.28,1.8,1.1
1.3,3.7,0,1.4,9.8,0.48,1.8,0.8
1.3,1.9,8,2,8.6,6.9,6.2,1.6
1,0.6,10,1.9,6.2,0.9,4.2,1.2
1.3,1.2,0,0.7,1.9,0.38,2.3,1.2
1,0.9,5,1.6,9.4,0.34,1.4,0.7
1,1.5,0,2.7,5.8,27,2.3,0.6
1,1.1,0,1.4,4.1,0.78,3.4,0.3
1,1.3,0,2.1,3.2,17,2.5,0.9
1.3,5.4,0,1.4,9.5,0.48,1.8,4.2
1,4.3,0,2.5,11.7,0.3,1.4,4.4
1,1,0,1.4,3.1,17,2.8,0.5
0.7,0.9,60,0.7,2.3,24,3.3,1.1
1.3,0.3,15,0.7,0.6,0.94,3,0.2
1.3,0.3,16,1.2,1.9,0.94,3,0.6
1,3,0,4.5,7.7,45,2.7,0.9
0.7,1.8,0,3.7,5.5,5,5.5,1.1
1.3,4.7,4,1.8,16.7,0.6,2.1,6.5
1,1.5,0,3.7,9.6,27,2.3,1.2
1,1.5,0,1.1,1.8,1.8,4.6,0.5
1,1.6,85,0.8,1.8,9,19.3,0.3
0.7,1.3,5,2.5,2.6,39,2.3,1.1
1,1,0,1.6,1.5,7.6,3,0.8
0.7,1.5,0,3.5,5.2,70,1.2,0.6
0.7,0.9,0,2.5,2.5,73,2.3,0.7
1,1.6,0,1.4,2,25,3.8,1
1,1.2,19,0.8,0.7,0.64,1.9,0.6
1.3,0.3,20,0.8,0.3,0.94,3,0.3
1,1.5,0,2.1,2.6,1.8,4.6,1.1
1,1.5,0,3.2,8.1,27,2.3,1.2
1,4.3,0,2.6,10.8,0.3,1.4,3.3
1,1.5,0,3.9,9.5,27,2.3,1.2
